Map(485) {
  '0xe80088863766AEE6d80E2Ff6C85A9187F6dd85a6' => 2139,
  '0xd190071695De93377D8abd1E5a9dCB0e7c162cbA' => 305,
  '0x3587dB7daB8eed84962bB5F7A52AB875FD20aa46' => 40349,
  '0xa603da977F4DA790D8f3d0fF42DB79caCC6F6960' => 1339,
  '0x6131B31607DC3e26fC28e46FA21B958C2b2B215E' => 325,
  '0xf17a0F334D43e343347335b0Fd673795617E9f1D' => 17930,
  '0xB9B6CEc863aEA619be2e1f2739E57854ff3F9d8b' => 1000,
  '0x6f25320321E0FCc6CefEA38c8504F127812eF7aD' => 264,
  '0x4ebE8ddDBEaC2deA6dfBB77d48A4d84C96D2DCF1' => 1000,
  '0xBF314e9A96E1EA7a9eDBB93F0c50b50E4d348c14' => 1000,
  '0x5a154e29580fDdc7f22241eb72066bC25b405044' => 1000,
  '0x0Ad979278f3b5b6576620F48161355c4D5E0766A' => 2895285,
  '0x6083acA8248Cf7F399033DF396809bf72d0B581c' => 6491509,
  '0xd10deb645552c338Ef122b0D73bc0eB694Cd29D1' => 1000,
  '0xD0B744A3CEE6C07814a889ecd4ebb3dA1D4252D1' => 1732,
  '0x42f7061ee77094E31F5aC69E6F76D8054bB7495F' => 100000,
  '0x827c09e905C42a1cf30164d3fAb36fbE777e6fC4' => 4007,
  '0xfbb86b509a1f6B8F94Ed8A40B880Ca4272c96506' => 99565,
  '0x253c65Df365F451cAf756f224DD124277A959430' => 50000,
  '0xFd3719bef669f5CeBBDA47B69E7814CF413e9517' => 27500,
  '0xEeBCfeF507D6109D87689811F5d85d89D30caE76' => 18247,
  '0x8c0d5Cf17365Df315b8d334eB5552Be9F7Ff3978' => 4409,
  '0x66342CDb636aba7b1CcC2F95EFABbC7bA3B1947D' => 33054,
  '0x6049c0e5C4ef4463dba8B80B6515195F7462C65E' => 624,
  '0x5406a48f5de499c08BfB8939A3B9e66c1957d72B' => 21490,
  '0x8D79069A3642D044330F065e2688639C226C2289' => 583,
  '0x23B97Fb0301883863bBBd8238D11fd51e95e7315' => 608,
  '0x1B30c84e244361a99Be770Acd57ACE184983c83d' => 769000,
  '0xddF8eB9ABE01C6bAF5f1308A3173A69F95FA6cE2' => 29370,
  '0x525c62A424c35bBDAFD8830C04e1867b6625Dba1' => 1832,
  '0x984683042ddb484e074117DC7C7F367De1d11e98' => 5000,
  '0xba540Bb14101cBd4170DF90408C0B9EC6c86273c' => 8000,
  '0xc9f52c0d4b3b4A35ba507d3AB99A1df0479018f7' => 5299,
  '0xC33e3272D29d0cD5A7371a3114080FFdC333E892' => 18212,
  '0xB346d2E0685eBaC08Ed05Ce998622Fb523dA3245' => 12260,
  '0xE2f9E2d5A58580bF1d695C0357ffFfc33C01b1d5' => 531,
  '0xB3d3C522A44A39DAdf9CBd649cB5F3D85b63F691' => 19205,
  '0x329f4435E0F22899b733756c71AA12C1004146B1' => 20000,
  '0xc1C47C47c0cB4E6E4E6Cba1DE405fe8B06b8E564' => 528,
  '0xb44e639dcA7d7A0F0bCe135599EdAa9f1FbBbD6a' => 25336,
  '0xeFC05B0D0C8bE8D4Cb3a220ef582E9f7E6FBCd00' => 297,
  '0x77F7F8c188b3590FFA6426536b199fd84416D667' => 11074,
  '0xD23Cca1d288eADED8667a7d4765D0033641F4C60' => 19911,
  '0x4ce7D126DCB606008A711B46c2d8DF50D88e4244' => 31056,
  '0x3E3F22da9a50D22694c452c5Ec39B907524373b8' => 4849,
  '0x06a6Aa05760613Ae19c73E66c545aB9d9Bb3f447' => 12358,
  '0x1c0eC596303Ce6666f5a4D24c29e78Cf881cb5d3' => 14246,
  '0x6A9ee69B6781C18164ee9F7C58f1763BcFfC7c51' => 107757,
  '0x17dC32FAa91b1211b2E991f08b8Df4b6D4780BbA' => 4155,
  '0xa2AB20E4aA2Cfc44231161C005cBF6fD68BF56a9' => 5100,
  '0xc2552747697ad2eea67Dd75E10F7933A62cEb64C' => 803,
  '0x53dc3204f2f294f6A5649a36AC295f74A0dB92e0' => 776,
  '0xB1D8AF0C0ef6AbC24f6642263A4CF15349c69310' => 38587,
  '0x4496c474a0768384841EBc0aae87BeAeab7261a6' => 1208,
  '0xa748BA1119Fbd1D5077D7504552e53da969428cb' => 19217,
  '0x6731A657be913360C013edaBEf254Ee809bED8b4' => 163,
  '0x86A26f13733800d8f24Ad62cF8c9B90ff365b46F' => 150,
  '0xa2E0225B258Fd766a976B9c7abCaC07e847932A7' => 150,
  '0x171A866F97Cf9be747e51112C59b6725dE6dfb36' => 150,
  '0x2f4ec53D8d04186Eb17C8231a7b2Df17457d0c35' => 150,
  '0x5F18163B7e591F919a8CF2d6Cd1BA98AED655184' => 150,
  '0x3d0ee9Ca1558b04E05CA80c0146Ae69c22E0a8DD' => 150,
  '0x3A42C2168174ec82c6FD49eA33534861471B11a8' => 150,
  '0x9C2c3b36FbCE13eFB602750eF3403291824fa338' => 20173,
  '0x8F771a8E8BA888F2b06cC75747eE59FA9F7613E9' => 20800,
  '0xAEE3990D12F75Eeba71E05861D1AA7244A5BB5F5' => 2168,
  '0x107cd74419DfC9FF01975e652597c5a4b6706460' => 114049,
  '0xE8Ec805d1A7A24930C20D10b4Aa516ac5fcF617a' => 2174,
  '0xEB4872B4c995f6613077090438EaE69CfEFF142f' => 190773,
  '0xcA2dead8B1EEE1B6809169a982eef01ABcE24078' => 418,
  '0x00A0E299241C264209B52ECE9649Ed577F077853' => 10153,
  '0xA7AfC2C6e37D88D6D7464Ee0a48ec540024980DB' => 18500,
  '0x72b3DAf411912561836DeA10e2Efebd6F81ec209' => 35500,
  '0x108C07764a22DFCfFD08F0EB1a74e12F57002809' => 10200,
  '0xC9E3D84E62cC145fF76Fd90859CBd46b5C665941' => 20206,
  '0xa406350e53C905c881Aa346cF14c703A52A9B593' => 541,
  '0x8eAa72fe26Ab8e42e41C950887F61E85e490911c' => 24301,
  '0x788A8A180F27f86B2148fbD7836ee6F0794D9296' => 17710,
  '0x5Fb811A8BbCAF5F9D9b503EE045e25aD7E3D90f4' => 4288,
  '0xa6cf43fE0B47D5Da8f03258B37F1cAf148955019' => 20011,
  '0x17316883E44d24A2913F487A0c3d1054c5063d69' => 35558,
  '0xBd1eA07bcc208715e099588adD684eD78F3FF3ed' => 20084,
  '0x56Cfe1cf80A5d2505900b905F88112DC3c7e5a82' => 167,
  '0x9254Dc142566bBdefA0D44411D67cC47d3cE41Bf' => 202044,
  '0xfF659F9c29D69A078f0D868cEb18e9c6E7d8F4Fe' => 1682,
  '0x894D0097B2c0cD0695F0fb0E3Aad14Ece1E0E142' => 1500,
  '0x40a93D2ed2ACd4E48c2de8a3f8E839fEda2384fB' => 1500,
  '0x2F854d94E20EC243cB05e2b1F8e6E9Da45a50f5F' => 240,
  '0xBC0A24a17CaEd0DBca77e564159c188C7aaaCab7' => 6874,
  '0x90B7903F465600923CE2A18c0aA222bA79784b6A' => 21366,
  '0x87084347AeBADc626e8569E0D386928dade2ba09' => 165,
  '0xe1Da425d1880D3243f9Dfd3c9C2C3f09E73ACd6d' => 6732,
  '0x896aEa93ae29147E810059C75390EF4BbbEEbe29' => 47571,
  '0xe9bD415d5d543B5d4FE12Ac2Baa52cD9ca026F46' => 15393,
  '0xF3551c1d8AC61569E482ABc05EefAE4ccCEF32C1' => 59320,
  '0xDCa30c99B25188e3449B4e28B5D96f689ca64005' => 6135,
  '0xF0CBf1B2D0888E744005f5d603a03a5c4aDc31C3' => 10050,
  '0x84380DebaC404Cdb4B60CEAE345c0CbCa36a4C11' => 1,
  '0x138308323652eDd886A1418A80ee5e74A1bc1503' => 446,
  '0xd40bf250ac782434155b93d91DE08236f50460a6' => 558,
  '0x697D13930A51A7a9DedE42e48FCB0b7043918917' => 22759,
  '0xfC744e67dC1D3eF15E014C13Ab3D86fE3D2e18ae' => 125,
  '0xefc2d75947Db60f1F3C5E6a87D60E5263a70dBA4' => 250,
  '0x24AD53649Ac401138E31Cdc893cbE86073117be6' => 2795,
  '0xf7AF0b2277a6cAa0D8a3A1B1eA21F5C6E13dCA74' => 943,
  '0xe4a050f884187169444Ae33Dd0Cc557146437D79' => 150,
  '0x2ffe1CebBD2e6934f1A9e2BC4A0940d8c78cFf6D' => 4452,
  '0xf67336E671f1588d71c8f1e50a79c2715717E07a' => 4246,
  '0x4fE6B9C2f4F42Cc96ac38d7e7404A876E18879d5' => 255,
  '0x4614267ee9e61ed08b91607F90aB9553eba2A559' => 115,
  '0x06b428B209824e712857Ae2bc6bA84c3D59553E9' => 150,
  '0xF422CF49Eb49D93ad6952db28117849BCf44024D' => 255,
  '0x7aadB669c2fBf10bc0401bF69767A6C8dc767c63' => 115,
  '0x71B5C30C3dd69A8b8eD7A5FA7952Bd305F19B5B3' => 122,
  '0xc7094fce0476b224A99e9186D6757022Bc989245' => 122,
  '0x18b1723c329cE96c001DCa22Af175778476F87ca' => 123,
  '0x098beDe5133f6da3D3D8fADc046d26980cc1eC50' => 588,
  '0xe74d20083455d354708D67d8CcE31871E0a425F2' => 23167,
  '0x5E927d6d547254dcFaB48C18B2314757ab931150' => 442,
  '0xbF45dd1bCa8067769494B935C69763ca29de85a0' => 74262,
  '0x2B2Ba7547FEa61596f0124176D68B959C891CB38' => 8021,
  '0x852D31705ce7221c9a5d573A66B349cBc8F3D028' => 39544,
  '0x0AB89d33Cc455105c56A6E9381BdE16e0d6D9e40' => 25965
}
