,eoa,grade
328,>0xb054675aDD7062E2a708bA7C211fb0eC1F56B8fA<,Gold
329,>0x8DF5d18F91333F5591E9331b460d5e501C43B4b3<,Gold
330,>0x35e939c53B208CCec114c6b92f6d754b023dff4D<,Gold
331,>0x138732Bd8109847f5CB02541ECB17d24b1e9ff6E<,Gold
332,>0xA3176cdB52Dd85290E72B2c486Cf6149ab38Fd32<,Gold
333,>0x6049c0e5C4ef4463dba8B80B6515195F7462C65E<,Gold
334,>0x525c62A424c35bBDAFD8830C04e1867b6625Dba1<,Gold
335,>0xB3d3C522A44A39DAdf9CBd649cB5F3D85b63F691<,Gold
336,>0x329f4435E0F22899b733756c71AA12C1004146B1<,Gold
337,>0x4496c474a0768384841EBc0aae87BeAeab7261a6<,Gold
338,>0x00A0E299241C264209B52ECE9649Ed577F077853<,Gold
339,>0x8eAa72fe26Ab8e42e41C950887F61E85e490911c<,Gold
340,>0x098beDe5133f6da3D3D8fADc046d26980cc1eC50<,Gold
341,>0x108C07764a22DFCfFD08F0EB1a74e12F57002809<,Silver
342,>0xFF79Ad62D19066E43B99eEd19f94E11b0E0B5688<,Silver
343,>0x542aF4Dda22Ae22BAE41ea32FAFcfB6aF00D8ac5<,Silver
344,>0x9b18e9e9aa3dD35100b385b7035C0B1E44AfcA14<,Silver
345,>0x83F097475C0d5feaAeA43cD42781D4313611A0d9<,Silver
346,>0xc4cbf8f4C59570450df297cedD3963b7E1F60652<,Silver
347,>0xa1bc9F613297FE6201da0ffe5bF7f086A51CC365<,Silver
348,>0x9c04c3186F5471c4E58db47ECFdEeda92C1E8CB2<,Silver
349,>0x1279249174eC07a2Cb3f057bDc43414106183d4c<,Silver
350,>0x5bFfCD8F4809E29bCAcE4C9c21e0C3b6963eCec1<,Silver
351,>0xC846b4532249Ba200a2f40b011aA8A770266baC2<,Silver
352,>0xacdD8A3eA69e962CD70c9b32CB4E7184F7863dA1<,Silver
353,>0x508f1b6C5eb1e0F9d48795C848d87288BaE13a46<,Silver
354,>0x8Cd4CA0AeD6B915B68e75E3D0854a73bB977979C<,Silver
355,>0x4326990033eCd87A5444383Cf8c715E696301910<,Silver
356,>0x3f4d0a6654c8365B42DcAa8AA92d9034e2A6141f<,Silver
357,>0x984683042ddb484e074117DC7C7F367De1d11e98<,Silver
