,eoa,grade
358,>0xE7228E5631bFd293288dc8EfD5fc2403E581DE2e<,Silver
359,>0xe2F3c30B753F71BDBF1258D6e09FD3D2adF549dB<,Silver
360,>0x0De156cB2202C682B41D3fbE8b785238ecF3F647<,Silver
361,>0xd164984268bC6e81Ce9a5109C955b96E4edBEE89<,Silver
362,>0x9f24Aa4aDC816066D71f0d7362f89c6590Dd8e93<,Silver
363,>0xF3551c1d8AC61569E482ABc05EefAE4ccCEF32C1<,Silver
364,>0x3e1A12a6019ee26418F22B656926fE38F5e58C5f<,Silver
365,>0xd24c941f5Edbe451395544658c0dF6dF056c6aD0<,Silver
366,>0x42f7061ee77094E31F5aC69E6F76D8054bB7495F<,Bronze
367,>0xba540Bb14101cBd4170DF90408C0B9EC6c86273c<,Bronze
368,>0xA7AfC2C6e37D88D6D7464Ee0a48ec540024980DB<,Bronze
369,>0xe4126Fd057ab2fC08B6cE2621De4C3bc56464101<,Bronze
370,>0xb4e8865edE93E5b36CA856788C7C9D7Ad4Fe409D<,Bronze
371,>0x6Ab26A36E97a4D25E7256162c4E5A633b0E65e34<,Bronze
